inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
291018155.9296248,174795396.983159,32401585.70441171,170981595.33007643,164855831.25427425,,000551.SZ,1996.0
246850371.05737484,137515443.5107111,2200700.901041347,87620152.52290638,87249064.34334002,,000551.SZ,1997.0
215646395.39469585,112198452.75985631,-37271.463249708526,66580599.61138261,69802114.38814391,,000551.SZ,1998.0
169619727.1042307,71719313.96475169,10177732.639193216,13323500.417599607,12893152.922033872,,000551.SZ,1999.0
253201116.96022105,138179162.986813,9833803.994066589,71820227.56920646,65436391.12324401,,000551.SZ,2000.0
220785682.68780372,102867641.81329052,12632752.703804964,132549671.98414288,126921355.9538398,3826.967199473818,000551.SZ,2001.0
216992050.2578901,95203007.7150987,10181773.825919926,171558612.26757935,165746700.09490716,2974.065112978496,000551.SZ,2002.0
289260611.6796813,150702723.98571852,10952504.438484857,181356248.08670276,174667307.36276773,4620.705171166082,000551.SZ,2003.0
333199369.59157014,183390664.178706,13996749.04738294,301803246.629863,287357092.945745,5367.621543699281,000551.SZ,2004.0
312456927.9479896,158045167.212654,15902874.538818965,288702785.1303292,275059310.0246708,5804.009894640584,000551.SZ,2005.0
350076267.2513028,176613742.80055583,33258024.31290771,289099213.33696127,276064922.4064738,5497.8156362958125,000551.SZ,2006.0
370858943.1970386,193953136.14495143,20274476.31169685,322298316.3567482,301812342.46254045,4642.77182516184,000551.SZ,2007.0
350809253.5827627,178405807.41499838,15687702.01945171,310930050.29774004,295911344.31185865,5400.573072284908,000551.SZ,2008.0
358096858.2701476,184339349.70957825,21428586.201669514,301845604.7647656,287100839.8543389,4325.573785262515,000551.SZ,2009.0
525235036.0242638,244442412.2724311,20042748.60084619,396808936.6947467,377735191.2417937,6508.9309907363,000551.SZ,2010.0
539374591.5063139,258298084.14935404,14444333.168602664,423969018.1934244,415994549.5965684,5623.793822171741,000551.SZ,2011.0
522819626.826656,255450716.5644308,6360481.89772013,326039415.9045044,325289407.3622056,5201.71298465186,000551.SZ,2012.0
539804978.624128,268733967.2117145,14674356.760289889,352157679.4978295,343712197.2955774,4982.085287941688,000551.SZ,2013.0
504310516.50374687,233518260.65972987,12071243.17933537,349311833.7390264,340494140.7540811,4292.77312998263,000551.SZ,2014.0
499872639.8122101,240985858.19388655,9362447.20830154,323907621.2373224,319012343.9974178,4175.4799028851885,000551.SZ,2015.0
595916224.1273159,290060168.3406261,15922326.95364237,339051002.37805176,325309230.19940865,3937.089975883073,000551.SZ,2016.0
614273242.0515358,305103522.15616065,19661693.394930493,377304939.5778754,360528155.7018207,3585.459561096001,000551.SZ,2017.0
627866675.5891182,318959057.7510419,22366280.1943376,427733463.7347783,407079208.37558377,3431.2889940000005,000551.SZ,2018.0
651306140.816074,315020406.3283783,27587927.562967222,454534181.1634232,430328729.4817007,2712.4440000000004,000551.SZ,2019.0
682302228.3374195,320467527.58003527,27776114.484206364,438460673.3894236,415703860.7793562,2658.0,000551.SZ,2020.0
147299091.63414273,89386149.84290108,10216422.07328461,53067596.97996879,45166329.315222,,000636.SZ,1996.0
118393299.96390694,49889869.72686175,15158529.625726122,123498503.46767733,106103481.39796086,,000636.SZ,1997.0
176510252.8783766,57778297.786348194,25838900.783220243,151841427.5270307,125523937.6650664,,000636.SZ,1998.0
200525159.18852112,50151548.65557471,48328433.00994618,184475403.05786023,135355142.43408632,,000636.SZ,1999.0
529494510.5822328,75226176.53842233,79116468.66842397,289622781.2004011,209033341.75219887,,000636.SZ,2000.0
604892223.7485334,135116677.12465668,7315518.594736462,202924190.30688676,193691093.224672,7758.909699296253,000636.SZ,2001.0
653305750.3099058,187551642.5386677,3822674.593324812,212980712.13454333,206099788.55911785,8026.909758533714,000636.SZ,2002.0
694312843.0964775,225994326.8395136,5840095.703718128,222671924.35253948,213465353.2293687,9858.019493935932,000636.SZ,2003.0
728798278.0307457,284630302.9108644,5022495.839374253,265788633.97267097,259034859.82820487,10298.50346819572,000636.SZ,2004.0
673350546.6309355,246705997.8411209,3031716.67562608,281847758.00284106,278671089.59642833,11114.186584773892,000636.SZ,2005.0
663565885.1848501,252129186.2752927,17209782.489526123,364618911.89879024,360092939.84708107,11378.226110726708,000636.SZ,2006.0
710245357.5437033,268288789.19536677,34192982.8792063,375257542.78506047,369675365.45070606,11734.947168377812,000636.SZ,2007.0
536501253.8200936,200995594.2656833,-80161454.18035026,356801461.4206206,416341787.4804441,10156.443402841913,000636.SZ,2008.0
470332806.985542,143776224.07022914,9742722.125410626,291769759.4439703,285209257.6745878,11028.611088054502,000636.SZ,2009.0
580477639.2850413,155962944.16607785,39139485.46789487,358205748.82564324,322932802.7413782,11147.657538566214,000636.SZ,2010.0
564235376.5536948,172308599.61827734,28141268.69066213,354937642.4020841,338635269.88995004,9751.990842490655,000636.SZ,2011.0
530367193.450829,174799806.4571319,11367722.718744615,337185558.44428134,337407263.67950547,8133.307380970012,000636.SZ,2012.0
609950174.7102253,245305454.91920057,14005937.94905429,351679448.5632017,349249537.96055347,7185.4333037359365,000636.SZ,2013.0
781070442.4345974,202244563.2984712,14614727.910675738,345413206.54062605,340995863.16225386,6002.224759393342,000636.SZ,2014.0
992484819.467689,271768684.73691696,9758927.892689228,292189107.9632954,293908766.47768754,7756.986197163229,000636.SZ,2015.0
993679861.8654302,315434696.3587186,21721789.120767105,412174260.067306,415263412.8556064,7770.744236138687,000636.SZ,2016.0
921793031.9735212,254582414.27227303,38165775.23574372,488680498.96612567,461073866.0232112,7148.503328568002,000636.SZ,2017.0
1009701565.5170436,217225098.51147503,147487101.85910136,656596779.1639055,497832684.382763,7067.446743,000636.SZ,2018.0
983059826.819324,191329440.00071144,48893397.13626598,462384430.114775,425971524.8376656,6355.104000000001,000636.SZ,2019.0
1197883494.473518,370674455.1030415,50826298.60028672,591098063.6849687,519884307.6819003,7407.0,000636.SZ,2020.0
,,,,,,002377.SZ,1996.0
,,,,,,002377.SZ,1997.0
,,,,,,002377.SZ,1998.0
,,,,,,002377.SZ,1999.0
,,,,,,002377.SZ,2000.0
,,,,,,002377.SZ,2001.0
,,,,,,002377.SZ,2002.0
,,,,,,002377.SZ,2003.0
,,,,,,002377.SZ,2004.0
,,,,,,002377.SZ,2005.0
92136974.61291376,56411874.13793447,3729100.711213591,73997134.23743373,69734437.96088706,,002377.SZ,2006.0
90860330.83414005,66750582.19346055,5461049.44499074,91593852.25244837,85575033.96632245,,002377.SZ,2007.0
85697472.16312918,57145220.65411932,5546766.164850044,112598099.88069835,106146851.07059394,,002377.SZ,2008.0
100671056.16602796,71237314.13465804,5969843.937745097,107355951.05809145,100855891.6562644,178.14955737821916,002377.SZ,2009.0
225846354.36744267,106607427.76037198,6802742.702787416,138247742.0956404,131693222.95071486,178.11470884822714,002377.SZ,2010.0
222414845.48452917,100654910.33202858,6578891.882684372,156385914.94443026,148216618.19822448,172.42469394794497,002377.SZ,2011.0
252157047.0781473,133048479.9473563,3586807.024054201,203994452.3031179,199813593.0850973,324.810701411716,002377.SZ,2012.0
266028634.8147821,147250239.72992498,2820889.3778630365,184727754.9701593,181890807.05243,345.46463383454653,002377.SZ,2013.0
356125623.49048483,219042866.0611268,7129964.111546818,299264690.53614146,290782640.0918309,338.9624113653651,002377.SZ,2014.0
274826078.9788335,138019200.03241813,5993157.859402015,219316263.58830085,211819234.60880315,306.9231657858494,002377.SZ,2015.0
223633491.93177652,90562214.50914772,1498582.9253140185,97728584.50630485,96061545.4568775,248.24571750590172,002377.SZ,2016.0
962756181.5943964,246211021.07793832,6876439.983576196,349919330.6718125,342217759.7022914,7786.819737480002,002377.SZ,2017.0
967644325.5048229,217474348.96963128,44748840.48448629,630906806.5829883,583361427.3828617,6231.161979,002377.SZ,2018.0
933865767.526356,177205491.15321645,42274468.53199976,695932860.6223569,654179441.8120692,6454.917000000001,002377.SZ,2019.0
466734201.8048469,157494433.84446642,-407465010.3293952,600145998.4155371,1010097592.1004972,6815.0,002377.SZ,2020.0
262573542.7362137,27316478.841821827,23725316.22001744,171101013.43757698,143358349.55546805,1911.6650850750416,002572.SZ,2011.0
284446585.4738279,38896354.79809772,28483023.08972697,197614484.41718552,163688432.5054051,2148.0182151752897,002572.SZ,2012.0
328833417.0065048,46288558.27155708,39915182.49560131,281172723.12440985,233989245.7667761,3239.741917297888,002572.SZ,2013.0
389262147.7262265,69452977.12445715,50778993.35364038,362802013.6031608,302251033.5966158,6036.008388433079,002572.SZ,2014.0
475185575.82810247,110165957.7483841,68075534.33483322,481425699.0748487,391630820.1705334,7745.945795516256,002572.SZ,2015.0
793071203.1265914,200013947.91779783,94708637.66874018,672999640.2648001,551961391.2428725,9427.893280191243,002572.SZ,2016.0
1028275272.9250212,312443567.9408615,131747939.78438015,897409106.5700642,731179637.9033177,12326.551655712005,002572.SZ,2017.0
