inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
1402577168.98777,1012763458.1931908,,1078389883.3907423,932535329.7230448,8268.0,CH0002293683,1998.0
1967057167.5587893,1401319635.7553134,,1379993402.8429935,1197046251.4171634,9857.0,CH0002293683,1997.0
2376866290.410465,1374689495.7789948,,1325906277.8750465,1084628882.73481,9489.0,CH0002293683,1995.0
1691031497.0188878,919889208.56903,,991516840.5284592,831154960.2268245,7465.0,CH0002293683,1992.0
1951703154.6920092,1069567173.0512972,,1116519651.124009,917419401.0616463,7359.0,CH0002293683,1994.0
1632718199.875047,856087400.317626,,1013468462.5790472,853785661.1543515,7313.0,CH0002293683,1993.0
2652017294.9401207,1653046224.0525837,,1329766252.635491,1143958351.7017894,9162.0,CH0002293683,1996.0
145911163.0685556,79301026.64969073,4969210.449868424,34651960.87041581,21378016.61347204,,CH0006242272,2009.0
75543461.87120695,47787831.946923226,384063.7282806728,16472586.98003812,11415747.891009266,,CH0006242272,2002.0
155843271.13949266,85454882.6276744,4305601.028980901,41441150.780143104,25856409.0681169,,CH0006242272,2008.0
105352796.40292604,61157237.08553494,5127214.192606127,34713373.131450415,22799907.79639643,,CH0006242272,2004.0
150067395.02379176,87731493.9445368,-9580206.835295608,34785109.28876149,35136694.73554716,,CH0006242272,2007.0
72338539.70268813,46077815.91572163,-647249.9614237285,14370164.636492075,12528692.91525837,,CH0006242272,2001.0
134532017.95571512,87638461.8665894,-3276274.409880429,36266328.8318473,34464753.62595548,124.0,CH0006242272,2006.0
88351855.80820137,53084307.853622496,2552607.632109061,25608833.77314025,15718398.725962635,,CH0006242272,2003.0
127438000.12362216,89485074.21960743,7039795.292170069,41326562.08421544,27908997.082299165,,CH0006242272,2005.0
66150725254.8541,61107109709.19577,149785472.5468665,850101095.3844101,,1289.0,CH0009236461,2021.0
62529667348.2605,57762283085.98759,157675223.4796925,882547400.3540108,,1241.0,CH0009236461,2022.0
66426831940.66353,61587570881.04391,132160626.89406036,784894010.5204298,,1320.0,CH0009236461,2020.0
46352924388.3877,42385277364.54301,,1233667451.849045,,,CH0009236461,2010.0
58667224801.26517,53788116165.215706,188687234.57055476,1578745935.730377,,1270.0,CH0009236461,2023.0
53702686467.14277,49011896749.37496,231780748.8160829,803303645.3458481,,1238.0,CH0009236461,2018.0
49480900198.60458,44693790322.19015,140085514.54182017,839644586.8672837,,1284.0,CH0009236461,2015.0
50458641644.59871,45615456002.60361,218906101.3765944,886902942.9019672,,1244.0,CH0009236461,2017.0
58885351663.26431,54108843353.87668,230691896.8890908,1068211987.1457884,,,CH0009236461,2014.0
53874416139.43359,49497753196.77973,,1166437567.2574008,,,CH0009236461,2013.0
54277363741.77677,49923191022.14027,,1275887989.9745889,,,CH0009236461,2012.0
30640584168.996464,27800392401.22799,,1207056147.861661,,1348.0,CH0009236461,2005.0
48238820362.32847,43447923887.612366,152453602.27404842,879832918.5250654,,1229.0,CH0009236461,2016.0
41167819521.43132,37544437709.229935,,1272861073.8555334,,,CH0009236461,2009.0
11593177532.743046,11069392808.4113,,847441354.3686271,,619.0,CH0009236461,1992.0
30646950939.0798,27664187002.86024,,1233124707.3236282,,1389.0,CH0009236461,2006.0
24402904990.85946,23287277248.475994,,1058274536.5652024,,681.0,CH0009236461,2002.0
40803663995.6814,37279112464.53208,,1417557151.0441463,,,CH0009236461,2008.0
58878954821.94367,54225267927.509285,,1340468064.7741735,,,CH0009236461,2011.0
13946367779.85366,13212531144.128222,,652429007.5326835,,596.0,CH0009236461,1999.0
30433960520.975445,27743008840.38,,1188855962.5929544,,1354.0,CH0009236461,2004.0
12805124760.917034,12119064707.70627,,668882133.9130607,,624.0,CH0009236461,2000.0
13496649758.423525,12946492378.199392,,715117637.6989979,,650.0,CH0009236461,1997.0
16255220767.934303,15628382771.347622,,804117431.9124686,,583.0,CH0009236461,1995.0
13517505707.516563,12880527341.89574,,733440545.1114558,,580.0,CH0009236461,1998.0
52549735603.95065,47971778602.36306,131125250.51159172,758245555.0403625,,1284.0,CH0009236461,2019.0
15770605138.388418,15161664777.595228,,806911895.4936799,,617.0,CH0009236461,1996.0
12751524612.45642,12200638705.210072,,685614003.9239639,,595.0,CH0009236461,1994.0
33685481559.11261,30494457960.4916,,1308675093.6987576,,,CH0009236461,2007.0
27503094190.90509,25172317145.04569,,1166576242.391827,,,CH0009236461,2003.0
10407927257.381409,9892427687.985369,,448433289.540899,,465.0,CH0009236461,1987.0
9557209025.830898,9099315083.35955,,451827118.1687244,,552.0,CH0009236461,1989.0
10517064098.28698,10005187186.348455,,449950385.1279394,,519.0,CH0009236461,1988.0
11742671094.074732,11243337405.286228,,951259851.6066996,,609.0,CH0009236461,1991.0
22393139614.65582,21379667564.68358,,1069976252.1627862,,687.0,CH0009236461,2001.0
11896639979.267654,11358858317.761774,,711294467.4599233,,591.0,CH0009236461,1990.0
11803204048.368893,11286589283.996284,,744503886.8557887,,624.0,CH0009236461,1993.0
44736204.30139941,44522352.24921401,-22284480.514909256,10961288.520990064,26891895.56231392,50.0,CH0242606942,2015.0
199558325.8683877,321824193.72522867,-81382870.55784428,26600358.44932136,67396026.00387228,243.0,CH0242606942,2018.0
35943661.1453919,21103433.255425848,-10561019.25517985,1613583.0188087083,8438328.805908436,,CH0242606942,2013.0
175605162.55406916,207551516.66293916,-55188699.627653584,29569405.52647288,58472659.857879065,166.0,CH0242606942,2017.0
23765997.849465016,22436934.238721862,-9978843.638397347,265812.7221486309,7103385.2604373135,,CH0242606942,2012.0
21770817.92320032,20743275.671611868,-6215696.492790478,28023.8795887758,5105950.861074956,,CH0242606942,2011.0
22786877.717169847,15645288.987520996,-4088143.497721986,5426.7391562680905,2677191.317092274,,CH0242606942,2010.0
33600733.73717131,14889409.194612538,-3584269.7745515583,124974150.96251518,125949542.40936036,,CH0242606942,2008.0
67880488.63365847,20293556.10368055,7624739.526000171,153556065.2986699,154926777.82601365,,CH0242606942,2007.0
41208698.75332952,33262664.170483395,-10084646.36589449,12018231.454231285,18657429.21875323,,CH0242606942,2014.0
83145645.9938964,44015052.47871151,-32307155.975083537,181185847.248119,177274459.42985615,,CH0242606942,2006.0
263976955.0334584,161547437.2956376,-2762555.480830409,1348498145.089631,1338128645.498779,646.0,CH0242606942,2004.0
227714912.04414725,132797948.52391078,151162.00282483478,1110770332.3912866,1099581150.6188087,690.0,CH0242606942,2002.0
256845058.70176667,165960338.82929596,-14229197.132223172,1273580565.9795082,1274540583.9472692,755.0,CH0242606942,2001.0
274367426.81370306,174259298.1842488,-10723928.090131609,1221611475.1988764,1219477811.2287395,638.0,CH0242606942,2003.0
228302202.4365836,126575346.49382631,1880460.0442146792,949198610.0283924,937342767.0837004,606.0,CH0242606942,2000.0
219877707.9133274,146623665.89507416,-27261162.018092096,1153626258.8112943,1161600164.236782,,CH0242606942,2005.0
210475609.4342001,145284778.2257078,8513848.273129893,896885966.2113271,879404452.5316979,504.0,CH0242606942,1999.0
220108742.81049824,160312670.79580107,,649894820.9870349,581632204.5577451,425.0,CH0242606942,1998.0
128177356.88658206,124513430.5650818,-57766903.92955496,15401049.46317648,46810617.54491975,123.0,CH0242606942,2016.0
29282342.67089239,10693941.13039826,503981.7508112662,84093492.2864858,84083462.79890749,,CH0242606942,2009.0
258484990.82759663,197186433.0833853,,234540168.8342328,142611765.42625988,131.0,CH0242606942,1996.0
337960361.9358444,271000773.0461097,,378695310.9967818,203576024.33551067,162.0,CH0242606942,1995.0
411721578.1399699,342286446.39911467,,452177879.23127913,254834597.01733905,147.0,CH0242606942,1994.0
532622442.3817403,467453569.75283074,,580339048.5573301,360651460.46697366,205.0,CH0242606942,1993.0
212764515.4952896,158534988.55653748,,265570063.9170059,177655148.1565568,131.0,CH0242606942,1997.0
1208886466.2662966,1347853577.6468303,,1084599033.3106675,784480481.9012069,423.0,CH0242606942,1992.0
1584742257.4233415,1326188124.5442357,,658239846.368137,89793538.4501062,602.0,CH0242606942,1989.0
1963026291.477656,1651780879.485175,,1646063284.097019,1155353646.7121346,602.0,CH0242606942,1990.0
1968204150.149227,1698979841.175354,,1481273329.0505598,1004270441.1949062,551.0,CH0242606942,1991.0
1448020127.7630572,1143716953.798882,,588865646.7059364,220965307.4988627,611.0,CH0242606942,1988.0
12905301.594276756,7454642.0757018095,-1784442.1042953697,84355.4449303265,1702249.619491462,3.0,DE000A31C3Y4,2023.0
9149052.057702385,5730249.671667061,-1628597.275105375,0.0,895671.5971404125,2.0,DE000A31C3Y4,2022.0
10841508.433225064,6609240.366263421,-1173103.380128116,0.0,973796.1923982536,2.0,DE000A31C3Y4,2021.0
7731685.711258007,6462012.031355525,-807261.6606787376,0.0,819017.8984556125,2.0,DE000A31C3Y4,2020.0
1741043.6380680434,1107225.5046590026,-532094.2354545031,0.0,602518.4724999521,,DE000A31C3Y4,2019.0
1553624.3245751366,294385.7514380811,-261989.2333372396,0.0,190153.47580928684,2.0,DE000A31C3Y4,2018.0
500989.7417443738,500989.7417443738,145892.6171013835,0.0,,,DE000A31C3Y4,2017.0
853187.0159976333,853187.0159976333,835440.7260648826,0.0,369941.8901365739,,DE000A31C3Y4,2016.0
1845159.3733432496,1845159.3733432496,398916.3281150711,0.0,350936.701022193,,DE000A31C3Y4,2015.0
2747024.3323957226,2747024.3323957226,-52371818.87108083,18335.7206652627,1306836.818324179,,DE000A31C3Y4,2014.0
181949244.93220967,42971373.34995184,29076630.68798796,162415418.6384762,119051643.54810125,,DE000A31C3Y4,2013.0
146835616.42615443,39766586.30031122,29578770.39607376,164775467.50399697,122034787.91624916,303.0,DE000A31C3Y4,2012.0
137102160.24148765,48597143.7242158,28603039.766943865,172277733.90131906,131790700.93009496,307.0,DE000A31C3Y4,2011.0
81795430.38937733,34658774.07803242,,136216579.56148615,104282028.53990032,,DE000A31C3Y4,2010.0
