inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
51400731.89515936,30452201.076523226,-4907982.063725863,90338099.35951231,64932283.31163566,550.0,3387,1981.0
42498657.82451915,31112273.537974127,-7605937.398528524,56410702.37241989,38682819.5188276,400.0,3387,1982.0
26081554.08016515,40656807.49864285,-25296895.87285155,46176681.0651501,40896143.39971534,250.0,3387,1983.0
8783399.764607046,26083057.121836096,-7204031.758805378,16172376.104017451,13342430.457934164,,3387,1984.0
62219557.42523476,36753052.603759855,-1936445.105788542,44859101.88380492,34411305.03396907,50.0,3387,1985.0
43360060.90114193,33223695.78697146,-14676130.88897047,21332280.588707168,20123306.45957132,50.0,3387,1986.0
17249920.312950447,36448788.34595759,-28319730.07174029,9075537.673150435,7838449.106657545,,3387,1987.0
17409682.782594718,12888054.89656088,20824708.510976568,6243294.963869149,2918341.504133393,,3387,1988.0
26583853.259766176,9807295.851551918,118833.94830818434,2705219.882074549,2125030.6050404725,41.0,4379,1973.0
22517499.56587452,7911731.797188298,-1092635.1733221775,2850066.446075319,1974641.8794979115,45.0,4379,1974.0
25302693.39284561,6107751.158807353,6036592.892879501,5325010.233600974,2686224.5387764378,45.0,4379,1975.0
25860909.661222342,7935461.980955155,326114.8759296639,6707095.948286755,3125267.5609926125,45.0,4379,1976.0
26128233.443261985,9432055.957890091,364747.26198812434,5579091.922804269,3529315.0561386123,55.0,4379,1977.0
27066017.15288456,10023736.168899324,776622.4846933549,7028192.299367814,3921702.360594394,57.0,4379,1978.0
26907156.440517653,9862669.8049215,1205935.5352381286,6625920.896215443,833843.9016888177,62.0,4379,1979.0
24340485.841354497,7379078.282535402,1647403.39386298,4096355.138285209,326258.3738457246,62.0,4379,1980.0
20792383.88385381,6362987.592379227,95817.43725278256,2924206.233196031,220025.22628416735,43.0,4379,1981.0
34677154.51833352,9031246.310350915,-3143401.369865638,3062966.329695074,5607931.000691717,35.0,4379,1982.0
39917592.81684935,23685165.501072265,-4341371.471352847,18719702.94591015,14696436.15319795,168.0,4379,1983.0
44688313.05509567,40574064.97249448,3193955.7483351226,36342524.72964371,23250915.15101585,,6998,1967.0
87310593.36045726,47667715.95012636,1706481.4779281511,42224477.59488887,26516096.810883574,,6998,1968.0
98203100.15952492,56168847.504224986,4022858.5458319033,52868255.83718545,32627986.326841217,,6998,1969.0
103663168.694304,60882807.10904906,3510632.575194905,61169389.36008538,38632879.56331264,812.0,6998,1970.0
113971649.45160866,68120899.3120862,5384902.488462314,77821255.12347005,48946127.65386934,1057.0,6998,1971.0
137064474.02511048,87382209.1508507,5778349.668111237,86646389.34292641,55410117.104572296,1162.0,6998,1972.0
200074427.55746183,146599150.81877893,5704029.518792847,110026255.66887183,72684434.97108826,1477.0,6998,1973.0
202848378.1412221,149533047.3947785,4127001.5281506353,136618889.5028622,88700913.22704619,1652.0,6998,1974.0
194143468.873158,144913808.56207195,8052743.760835326,179805078.2886957,120595471.1812283,1776.0,6998,1975.0
212050762.8253318,161030090.48613587,9566036.360603474,166688183.58351555,108585383.18871376,2059.0,6998,1976.0
300967863.9940038,245747183.44315377,9226564.542685514,189493908.53090084,120551538.72976518,2100.0,6998,1977.0
298739174.53133017,238254271.82592663,12179948.9059051,227974877.3235568,195458031.55139592,2293.0,6998,1978.0
309293325.0823382,237600681.66401792,29354891.76482999,239317682.8164202,199494911.96318483,3200.0,6998,1979.0
621904850.8861715,439530447.78756994,30732733.24003554,369207670.6397612,297898062.60809815,5400.0,6998,1980.0
1513425775.0257835,1287718929.5919237,36495797.21139319,927473755.8732396,744902501.1729932,16000.0,6998,1981.0
1465050256.4698648,1164586772.6135266,55281394.40842517,1112101300.2014303,881928389.2493447,14200.0,6998,1982.0
1700454311.0047133,1360248931.11946,69458913.97327754,1102653821.492999,865520416.6240517,17000.0,6998,1983.0
1698859818.6420977,1294118878.686916,88679458.58597915,1334072779.3541293,955050878.6161011,18000.0,6998,1984.0
1699838534.025449,1212254040.6298497,107737275.81304333,1358095377.2599938,960986215.151564,17600.0,6998,1985.0
1905769764.4580407,1353513099.064581,106232149.2077977,1363182175.3018718,986408783.951429,18000.0,6998,1986.0
2126189984.737467,1635559059.582895,15284975.757982211,1424587468.4911222,1063829513.7050886,18700.0,6998,1987.0
2148128387.953878,1628522058.08169,59213509.40794116,1587786231.2131472,1231092326.894452,19900.0,6998,1988.0
2145450488.851852,1597516416.893721,65951639.438464485,1752086709.1154015,1361914456.7241435,20800.0,6998,1989.0
2227731698.7941465,1649914769.8406467,75680852.62609725,1923616532.4362097,1493962629.179968,23000.0,6998,1990.0
2272270943.28857,1589704957.814449,139770907.54480523,2050558188.5981493,1557293469.2622192,23100.0,6998,1991.0
2376602164.4165483,1599095559.0246172,127504605.38706882,2168624291.5603514,1645604970.8744185,24100.0,6998,1992.0
2474243189.898553,1361086595.2918687,163407129.93559375,2425336992.782865,1839121577.5625527,25500.0,6998,1993.0
2583678660.9414706,1602296814.577587,191291525.0320025,2676439441.310163,1457229789.466532,27812.0,6998,1994.0
3318681559.8847866,1859133760.618257,169515516.79411975,2462997887.434899,1900394303.486301,31218.0,6998,1995.0
3149854905.0552435,2117798115.2621727,262859971.55847007,2931548414.5313983,1944066220.2570937,27715.0,6998,1996.0
3245027855.286606,1784982708.2783277,167544270.2692834,2533233063.722134,1982269888.2457085,31481.0,6998,1997.0
3977442.152197463,615140.4383011893,789896.2446367546,6633730.408498054,6305189.492587192,30.0,10305,1973.0
4739140.510794988,605556.8430460262,967574.5209539764,9807388.001506291,8918799.155732233,32.0,10305,1974.0
6232278.124181095,1405375.75207509,1328287.6306532496,10833845.987515569,9351382.114018638,35.0,10305,1975.0
10473722.765274372,4418856.568846946,1565351.4044623866,14686039.912699196,11544466.607910102,47.0,10305,1976.0
18555874.79297332,8214519.322802971,3832414.8935653633,23831866.878350835,4089279.162571085,67.0,10305,1977.0
20245245.765577704,6290159.751802079,4100180.819809637,27287909.291368376,4394429.090407741,78.0,10305,1978.0
18384913.12271957,3550561.12977174,1864941.199476065,22863461.82049984,3846441.223919384,90.0,10305,1979.0
21819032.23607765,5868622.848064454,2416728.695153516,33072932.193175867,6158630.291482876,120.0,10305,1980.0
22637756.74946296,5131556.083982355,3452976.5350724976,44083118.72422464,6984026.537536152,130.0,10305,1981.0
24706426.93879041,5842801.317989763,2992183.494344978,43219355.78444741,5823496.908348828,102.0,10305,1982.0
29604942.09215633,8916019.707042169,3114396.2823103466,50163593.03744622,10651962.381909708,102.0,10305,1983.0
43024567.83090939,16345578.171568193,5929969.092415185,53660349.02983028,9743350.206795048,97.0,10305,1984.0
43311071.63935187,15739245.685420822,1821046.4875656783,54901596.26963852,10490015.856502756,107.0,10305,1985.0
44346257.77502128,16094298.29438376,1787651.6336435706,66216463.931299,8900223.0270765,201.0,10305,1986.0
40466660.04790756,12792135.65093296,1530363.8732045684,62344997.92859865,9224841.4656582,178.0,10305,1987.0
32974170.804639485,6711670.760828829,-257349.33898883543,53896672.06443181,5360586.731137442,169.0,10305,1988.0
25589077.885431662,4291627.785635143,155744.5567367592,47769080.47340315,2744070.7615524246,128.0,10305,1989.0
22367167.80228327,1877690.9481773344,-58972.70565883588,31644753.85653133,483576.18640245416,106.0,10305,1990.0
18909312.717704147,2173149.798661466,931030.1918055302,33246282.45017105,23112376.900903154,126.0,10305,1991.0
18759268.63841148,2345445.5407768874,326472.2730751711,36526233.394186586,25763387.60221499,139.0,10305,1992.0
19165857.57430952,2883949.627382228,1042642.6707817168,45721966.39911984,31848563.02169832,150.0,10305,1993.0
21518929.99560945,4089588.728114695,1623688.1979940522,54002816.69986701,38919927.57884995,207.0,10305,1994.0
22035221.53072433,4996255.1191720255,1902207.715198196,62768908.11250479,45731914.945470326,239.0,10305,1995.0
26957437.751509063,6935148.2908147415,3447419.4105461603,95406756.33729751,71597296.22125375,344.0,10305,1996.0
38233429.53422114,8104756.533648264,6392116.557924476,131262020.33743748,94849319.0472665,384.0,10305,1997.0
42246857.29527757,9884500.352903116,8816988.88832493,154297305.5456863,112354670.80089428,404.0,10305,1998.0
37554465.79235652,9316448.042830486,7892802.98008849,142083004.66859433,108250814.88411234,314.0,10305,1999.0
40849610.3862193,8942211.997017687,6768501.841179955,137770065.47023833,107548652.11716267,255.0,10305,2000.0
43430902.86121614,7972880.124422965,4594713.636292272,100878397.06268723,78792212.64480817,191.0,10305,2001.0
45969847.30285117,7514746.329523244,3898491.287136812,86557399.90318196,67510579.64341955,220.0,10305,2002.0
31195507.02181197,6433068.156349288,3450463.8293146184,84027891.51191086,65274523.12885624,290.0,10305,2003.0
29427013.53844127,6207446.76065873,3406235.175649265,81694064.6206417,63948293.95030112,280.0,10305,2004.0
28814181.4360627,7084871.4429857405,1877135.2972031184,74388057.67145374,59899789.35613806,259.0,10305,2005.0
27005364.821912568,6114676.159078603,2083087.2804100008,74304755.11578788,60575520.13987675,216.0,10305,2006.0
25563744.66532081,5538183.43219908,1848959.1992375783,74948053.81047435,61267784.37473612,194.0,10305,2007.0
21690307.86707904,4184983.3673874233,875336.7029799899,60330573.630026646,49474143.21722168,129.0,10305,2008.0
21200432.838643003,4130906.7829331295,194187.9256934377,50184678.1952915,41298204.16915264,128.0,10305,2009.0
23370230.81354239,5979921.378460821,268591.9998989471,53639322.13210341,43824125.14087235,183.0,10305,2010.0
23034402.245620456,6234653.82074877,-83200.28774998359,60675822.75186304,50646162.25761501,195.0,10305,2011.0
